Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
330.09,0.0,2.5713217504057724,2.5713217504057724
330.09,150.0,2.237962943788344,2.237962943788344
330.09,300.0,1.893987614667175,1.893987614667175
332.09,-300.0,3.3654376336855076,3.3654376336855076
332.09,-150.0,2.981119519050128,2.981119519050128
332.09,0.0,2.560705227902033,2.560705227902033
332.09,150.0,2.2082366807778726,2.2082366807778726
332.09,300.0,1.860014742655208,1.860014742655208
334.09,-300.0,3.3144783256675563,3.3144783256675563
334.09,-150.0,2.9152970795269413,2.9152970795269413
334.09,0.0,2.5182391378870737,2.5182391378870737
334.09,150.0,2.1870036357703926,2.1870036357703926
334.09,300.0,1.8791244831619398,1.8791244831619398
336.08,-300.0,3.297491889661573,3.297491889661573
336.08,-150.0,2.9110504705254456,2.9110504705254456
336.08,0.0,2.5097459198840824,2.5097459198840824
336.08,150.0,2.199743462774881,2.199743462774881
336.08,300.0,1.860014742655208,1.860014742655208
338.06,-300.0,3.314478325667557,3.314478325667557
338.06,-150.0,2.9174203840276896,2.9174203840276896
338.06,0.0,2.5309789648915615,2.5309789648915615
338.06,150.0,2.1785104177674013,2.1785104177674013
338.06,300.0,1.855768133653712,1.855768133653712
340.04,-300.0,3.2868753671578332,3.2868753671578332
340.04,-150.0,2.9110504705254456,2.9110504705254456
340.04,0.0,2.505499310882586,2.505499310882586
340.04,150.0,2.176387113266653,2.176387113266653
340.04,300.0,1.7963156076327695,1.7963156076327695
342.01,-300.0,3.2359160591398823,3.2359160591398823
342.01,-150.0,2.8494746400037547,2.8494746400037547
342.01,0.0,2.471526438870619,2.471526438870619
342.01,150.0,2.14878415475693,2.14878415475693
342.01,300.0,1.8387816976477285,1.8387816976477285
343.97,-300.0,3.161600401613704,3.161600401613704
343.97,-150.0,2.7751589824775764,2.7751589824775764
343.97,0.0,2.416320521851172,2.416320521851172
343.97,150.0,2.1254278052487026,2.1254278052487026
343.97,300.0,1.8260418706432406,1.8260418706432406
345.93,-300.0,3.104271180093509,3.104271180093509
345.93,-150.0,2.7433094149663573,2.7433094149663573
345.93,0.0,2.388717563341449,2.388717563341449
345.93,150.0,2.140290936753938,2.140290936753938
345.93,300.0,1.9152206596746546,1.9152206596746546
347.88,-300.0,3.140367356606224,3.140367356606224
347.88,-150.0,2.773035677976828,2.773035677976828
347.88,0.0,2.401457390345936,2.401457390345936
347.88,150.0,2.1211811962472065,2.1211811962472065
347.88,300.0,1.8302884796447367,1.8302884796447367
349.83,-300.0,3.148860574609216,3.148860574609216
349.83,-150.0,2.7666657644745847,2.7666657644745847
349.83,0.0,2.39721078134444,2.39721078134444
349.83,150.0,2.1126879782442147,2.1126879782442147
349.83,300.0,1.821795261641745,1.821795261641745
351.77,-300.0,3.174340228618192,3.174340228618192
351.77,-150.0,2.8091318544895434,2.8091318544895434
351.77,0.0,2.426937044354912,2.426937044354912
351.77,150.0,2.1317977187509465,2.1317977187509465
351.77,300.0,1.851521524652216,1.851521524652216
353.7,-300.0,3.208313100630159,3.208313100630159
353.7,-150.0,2.8409814220007625,2.8409814220007625
353.7,0.0,2.4545400028646354,2.4545400028646354
353.7,150.0,2.14878415475693,2.14878415475693
353.7,300.0,1.811178739138005,1.811178739138005
355.62,-300.0,3.150983879109964,3.150983879109964
355.62,-150.0,2.7772822869783242,2.7772822869783242
355.62,0.0,2.412073912849676,2.412073912849676
355.62,150.0,2.1254278052487026,2.1254278052487026
355.62,300.0,1.8090554346372572,1.8090554346372572
357.53,-300.0,3.121257616099493,3.121257616099493
357.53,-150.0,2.7602958509723408,2.7602958509723408
357.53,0.0,2.403580694846684,2.403580694846684
357.53,150.0,2.121181196247206,2.121181196247206
357.53,300.0,1.849398220151468,1.849398220151468
359.44,-300.0,3.0639283945792983,3.0639283945792983
359.44,-150.0,2.694473411449154,2.694473411449154
359.44,0.0,2.375977736336961,2.375977736336961
