energy_mevu,rmse_mm,isocenter_error_mm,sigma_source_mm,sigma_prime_rad,correlation
328.09,0.022527774700979122,0.024000494355182145,0.991440004609097,0.0014920000036311302,0.999999
330.09,0.02539686419655343,0.031000499629266987,0.9871599986531426,0.0014880000020462893,0.999999
332.09,0.025099814791994312,0.02800049575240937,0.9964800013532441,0.0014640000013151377,0.999999
334.09,0.027522731779042534,0.029000494976670232,0.9936400014687761,0.0014519999982347623,0.999999
336.08,0.030331515642206902,0.03600049336699396,0.9893600007705113,0.0014479999990584336,0.999999
338.06,0.030083231741896477,0.033000492029124695,0.9986799980514295,0.0014240000022828795,0.999999
340.04,0.030083231667610903,0.03300048904681541,0.9886800009288242,0.001423999998855098,0.999999
342.01,0.030000013638660304,0.0300004872346864,0.9979999997636056,0.001400000000338951,0.999999
343.97,0.03267263217690187,0.03700048569900982,0.9937199990344181,0.0013960000011213624,0.999999
345.93,0.03008323153487729,0.03300048406046785,0.995879999053455,0.0013840000011016381,0.999999
347.88,0.03251923859716668,0.03400048163904268,0.9930399971050105,0.0013720000033639267,0.999999
349.83,0.03528457102929494,0.041000479003336476,0.9887600012569432,0.0013679999985935847,0.999999
351.77,0.03267263196406266,0.037000477965876355,0.9909199984878734,0.0013560000017308848,0.999999
