BeamNumber,BeamName,LayerIndex,ControlPointIndex,Energy_MeVu,SpotIndex,X_mm,Y_mm,MetersetWeight_MU,RelativeWeight,PlanRelativeWeight,NumberOfPaintings,WeightPerPainting_MU,FWHM_X_mm,FWHM_Y_mm,LowStatisticsAnchor,OriginalSpotIndex,OriginalSpotMetersetWeight_MU
1,1,30,58,211.44,3,56.29999923706055,-4.0,3104.604516983032,0.0025287481076432293,0.0025287481076432293,1,3104.604516983032,9.486949920654297,9.486949920654297,x_max,341,23.302200317382812
1,1,30,58,211.44,4,14.699999809265137,-56.0,3104.604516983032,0.0025287481076432293,0.0025287481076432293,1,3104.604516983032,9.486949920654297,9.486949920654297,y_min,116,23.49690055847168
1,1,30,58,211.44,5,14.699999809265137,58.0,3104.604516983032,0.0025287481076432293,0.0025287481076432293,1,3104.604516983032,9.486949920654297,9.486949920654297,y_max,228,22.601299285888672
1,1,31,60,213.98,1,-0.8999999761581421,1.0,3308.802014732361,0.002695070108785225,0.002695070108785225,1,3308.802014732361,9.486949920654297,9.486949920654297,center,233,13.613800048828123
1,1,31,60,213.98,2,-56.29999923706055,-3.0,3308.802014732361,0.002695070108785225,0.002695070108785225,1,3308.802014732361,9.486949920654297,9.486949920654297,x_min,548,25.38409996032715
1,1,31,60,213.98,3,56.29999923706055,-8.0,3308.802014732361,0.002695070108785225,0.002695070108785225,1,3308.802014732361,9.486949920654297,9.486949920654297,x_max,32,23.33320045471191
1,1,31,60,213.98,4,0.8999999761581421,-56.0,3308.802014732361,0.002695070108785225,0.002695070108785225,1,3308.802014732361,9.486949920654297,9.486949920654297,y_min,193,24.538799285888672
1,1,31,60,213.98,5,0.8999999761581421,58.0,3308.802014732361,0.002695070108785225,0.002695070108785225,1,3308.802014732361,9.486949920654297,9.486949920654297,y_max,106,23.7101993560791
1,1,32,62,216.5,1,0.8999999761581421,-2.0,3351.544444847107,0.0027298844752133753,0.0027298844752133753,1,3351.544444847107,9.374150276184082,9.374150276184082,center,385,26.317800521850582
1,1,32,62,216.5,2,-56.29999923706055,-3.0,3351.544444847107,0.0027298844752133753,0.0027298844752133753,1,3351.544444847107,9.374150276184082,9.374150276184082,x_min,162,25.5447998046875
1,1,32,62,216.5,3,56.29999923706055,0.0,3351.544444847107,0.0027298844752133753,0.0027298844752133753,1,3351.544444847107,9.374150276184082,9.374150276184082,x_max,732,23.897899627685547
1,1,32,62,216.5,4,-6.099999904632568,-56.0,3351.544444847107,0.0027298844752133753,0.0027298844752133753,1,3351.544444847107,9.374150276184082,9.374150276184082,y_min,250,22.77039909362793
1,1,32,62,216.5,5,0.8999999761581421,58.0,3351.544444847107,0.0027298844752133753,0.0027298844752133753,1,3351.544444847107,9.374150276184082,9.374150276184082,y_max,26,23.804800033569336
