BeamNumber,LayerIndex,ControlPointIndex,SpotIndex,Energy_MeVu,Energy_Total_MeV,IEC_X_mm,IEC_Y_mm,TOPAS_LocalX_mm,TOPAS_LocalY_mm,FWHM_IEC_X_mm,FWHM_IEC_Y_mm,Sigma_TOPAS_LocalX_mm,Sigma_TOPAS_LocalY_mm,MetersetWeight_MU,SelectedRelativeWeight,AllocatedHistories
1,18,34,5,178.87,2146.44,-54.59999847,58,58,-54.59999847,10.88990021,10.88990021,4.624514825,4.624514825,2142.018582,0.001744707065,26
1,19,36,1,181.75,2181,0.8999999762,-2,-2,0.8999999762,10.88990021,10.88990021,4.624514825,4.624514825,2179.955058,0.001775606908,27
1,19,36,2,181.75,2181,-56.29999924,1,1,-56.29999924,10.88990021,10.88990021,4.624514825,4.624514825,2179.955058,0.001775606908,27
1,19,36,3,181.75,2181,56.29999924,4,4,56.29999924,10.88990021,10.88990021,4.624514825,4.624514825,2179.955058,0.001775606908,27
1,19,36,4,181.75,2181,-25.10000038,-57,-57,-25.10000038,10.88990021,10.88990021,4.624514825,4.624514825,2179.955058,0.001775606908,27
1,19,36,5,181.75,2181,0.8999999762,58,58,0.8999999762,10.88990021,10.88990021,4.624514825,4.624514825,2179.955058,0.001775606908,27
1,20,38,1,184.59,2215.08,2.599999905,-1,-1,2.599999905,10.71835041,10.71835041,4.551664333,4.551664333,2169.488904,0.001767082065,27
1,20,38,2,184.59,2215.08,-56.29999924,1,1,-56.29999924,10.71835041,10.71835041,4.551664333,4.551664333,2169.488904,0.001767082065,27
1,20,38,3,184.59,2215.08,56.29999924,-14,-14,56.29999924,10.71835041,10.71835041,4.551664333,4.551664333,2169.488904,0.001767082065,27
1,20,38,4,184.59,2215.08,2.599999905,-57,-57,2.599999905,10.71835041,10.71835041,4.551664333,4.551664333,2169.488904,0.001767082065,27
1,20,38,5,184.59,2215.08,4.300000191,58,58,4.300000191,10.71835041,10.71835041,4.551664333,4.551664333,2169.488904,0.001767082065,27
1,21,40,1,187.41,2248.92,2.599999905,1,1,2.599999905,10.55620003,10.55620003,4.482805406,4.482805406,2266.357939,0.001845983383,28
1,21,40,2,187.41,2248.92,-56.29999924,-7,-7,-56.29999924,10.55620003,10.55620003,4.482805406,4.482805406,2266.357939,0.001845983383,28
1,21,40,3,187.41,2248.92,56.29999924,2,2,56.29999924,10.55620003,10.55620003,4.482805406,4.482805406,2266.357939,0.001845983383,28
1,21,40,4,187.41,2248.92,-6.099999905,-56,-56,-6.099999905,10.55620003,10.55620003,4.482805406,4.482805406,2266.357939,0.001845983383,28
1,21,40,5,187.41,2248.92,-30.29999924,58,58,-30.29999924,10.55620003,10.55620003,4.482805406,4.482805406,2266.357939,0.001845983383,28
1,22,42,1,190.19,2282.28,0.8999999762,2,2,0.8999999762,10.40345001,10.40345001,4.417938447,4.417938447,2364.950542,0.001926288574,29
1,22,42,2,190.19,2282.28,-56.29999924,-5,-5,-56.29999924,10.40345001,10.40345001,4.417938447,4.417938447,2364.950542,0.001926288574,29
1,22,42,3,190.19,2282.28,56.29999924,8,8,56.29999924,10.40345001,10.40345001,4.417938447,4.417938447,2364.950542,0.001926288574,29
1,22,42,4,190.19,2282.28,9.5,-57,-57,9.5,10.40345001,10.40345001,4.417938447,4.417938447,2364.950542,0.001926288574,29
1,22,42,5,190.19,2282.28,-26.79999924,58,58,-26.79999924,10.40345001,10.40345001,4.417938447,4.417938447,2364.950542,0.001926288574,29
1,23,44,1,192.94,2315.28,-0.8999999762,-3,-3,-0.8999999762,10.2553997,10.2553997,4.35506727,4.35506727,2463.367719,0.002006450878,30
1,23,44,2,192.94,2315.28,-56.29999924,1,1,-56.29999924,10.2553997,10.2553997,4.35506727,4.35506727,2463.367719,0.002006450878,30
1,23,44,3,192.94,2315.28,56.29999924,2,2,56.29999924,10.2553997,10.2553997,4.35506727,4.35506727,2463.367719,0.002006450878,30
1,23,44,4,192.94,2315.28,33.79999924,-57,-57,33.79999924,10.2553997,10.2553997,4.35506727,4.35506727,2463.367719,0.002006450878,30
1,23,44,5,192.94,2315.28,56.29999924,58,58,56.29999924,10.2553997,10.2553997,4.35506727,4.35506727,2463.367719,0.002006450878,30
1,24,46,1,195.66,2347.92,0.8999999762,0,0,0.8999999762,10.11205006,10.11205006,4.294192279,4.294192279,2469.532099,0.00201147186,30
1,24,46,2,195.66,2347.92,-56.29999924,-5,-5,-56.29999924,10.11205006,10.11205006,4.294192279,4.294192279,2469.532099,0.00201147186,30
1,24,46,3,195.66,2347.92,56.29999924,0,0,56.29999924,10.11205006,10.11205006,4.294192279,4.294192279,2469.532099,0.00201147186,30
1,24,46,4,195.66,2347.92,37.20000076,-57,-57,37.20000076,10.11205006,10.11205006,4.294192279,4.294192279,2469.532099,0.00201147186,30
1,24,46,5,195.66,2347.92,45.90000153,58,58,45.90000153,10.11205006,10.11205006,4.294192279,4.294192279,2469.532099,0.00201147186,30
1,25,48,1,198.36,2380.32,-0.8999999762,1,1,-0.8999999762,10.11205006,10.11205006,4.294192279,4.294192279,2576.145895,0.002098310436,31
1,25,48,2,198.36,2380.32,-56.29999924,-3,-3,-56.29999924,10.11205006,10.11205006,4.294192279,4.294192279,2576.145895,0.002098310436,31
1,25,48,3,198.36,2380.32,56.29999924,-2,-2,56.29999924,10.11205006,10.11205006,4.294192279,4.294192279,2576.145895,0.002098310436,31
1,25,48,4,198.36,2380.32,-0.8999999762,-57,-57,-0.8999999762,10.11205006,10.11205006,4.294192279,4.294192279,2576.145895,0.002098310436,31
1,25,48,5,198.36,2380.32,26.79999924,57,57,26.79999924,10.11205006,10.11205006,4.294192279,4.294192279,2576.145895,0.002098310436,31
1,26,50,1,201.03,2412.36,-0.8999999762,-1,-1,-0.8999999762,9.978099823,9.978099823,4.237308853,4.237308853,2722.284081,0.002217342235,33
1,26,50,2,201.03,2412.36,-56.29999924,-3,-3,-56.29999924,9.978099823,9.978099823,4.237308853,4.237308853,2722.284081,0.002217342235,33
1,26,50,3,201.03,2412.36,56.29999924,6,6,56.29999924,9.978099823,9.978099823,4.237308853,4.237308853,2722.284081,0.002217342235,33
1,26,50,4,201.03,2412.36,19.89999962,-57,-57,19.89999962,9.978099823,9.978099823,4.237308853,4.237308853,2722.284081,0.002217342235,33
1,26,50,5,201.03,2412.36,42.40000153,58,58,42.40000153,9.978099823,9.978099823,4.237308853,4.237308853,2722.284081,0.002217342235,33
1,27,52,1,203.67,2444.04,-0.8999999762,3,3,-0.8999999762,9.846500397,9.846500397,4.181423722,4.181423722,2775.660438,0.002260818099,34
1,27,52,2,203.67,2444.04,-56.29999924,-3,-3,-56.29999924,9.846500397,9.846500397,4.181423722,4.181423722,2775.660438,0.002260818099,34
1,27,52,3,203.67,2444.04,56.29999924,0,0,56.29999924,9.846500397,9.846500397,4.181423722,4.181423722,2775.660438,0.002260818099,34
1,27,52,4,203.67,2444.04,23.39999962,-57,-57,23.39999962,9.846500397,9.846500397,4.181423722,4.181423722,2775.660438,0.002260818099,34
1,27,52,5,203.67,2444.04,14.69999981,58,58,14.69999981,9.846500397,9.846500397,4.181423722,4.181423722,2775.660438,0.002260818099,34
1,28,54,1,206.28,2475.36,-0.8999999762,1,1,-0.8999999762,9.721949577,9.721949577,4.128531859,4.128531859,2830.548539,0.0023055253,35
1,28,54,2,206.28,2475.36,-56.29999924,-3,-3,-56.29999924,9.721949577,9.721949577,4.128531859,4.128531859,2830.548539,0.0023055253,35
1,28,54,3,206.28,2475.36,56.29999924,-2,-2,56.29999924,9.721949577,9.721949577,4.128531859,4.128531859,2830.548539,0.0023055253,35
1,28,54,4,206.28,2475.36,40.70000076,-57,-57,40.70000076,9.721949577,9.721949577,4.128531859,4.128531859,2830.548539,0.0023055253,35
1,28,54,5,206.28,2475.36,7.800000191,58,58,7.800000191,9.721949577,9.721949577,4.128531859,4.128531859,2830.548539,0.0023055253,35
1,29,56,1,208.87,2506.44,0.8999999762,-2,-2,0.8999999762,9.602100372,9.602100372,4.077636587,4.077636587,3010.2164,0.002451867536,37
1,29,56,2,208.87,2506.44,-56.29999924,-3,-3,-56.29999924,9.602100372,9.602100372,4.077636587,4.077636587,3010.2164,0.002451867536,37
1,29,56,3,208.87,2506.44,56.29999924,0,0,56.29999924,9.602100372,9.602100372,4.077636587,4.077636587,3010.2164,0.002451867536,37
1,29,56,4,208.87,2506.44,-35.5,-57,-57,-35.5,9.602100372,9.602100372,4.077636587,4.077636587,3010.2164,0.002451867536,37
1,29,56,5,208.87,2506.44,0.8999999762,58,58,0.8999999762,9.602100372,9.602100372,4.077636587,4.077636587,3010.2164,0.002451867536,37
1,30,58,1,211.44,2537.28,-0.8999999762,3,3,-0.8999999762,9.486949921,9.486949921,4.028736693,4.028736693,3104.604517,0.002528748108,38
1,30,58,2,211.44,2537.28,-56.29999924,-3,-3,-56.29999924,9.486949921,9.486949921,4.028736693,4.028736693,3104.604517,0.002528748108,38
1,30,58,3,211.44,2537.28,56.29999924,-4,-4,56.29999924,9.486949921,9.486949921,4.028736693,4.028736693,3104.604517,0.002528748108,38
1,30,58,4,211.44,2537.28,14.69999981,-56,-56,14.69999981,9.486949921,9.486949921,4.028736693,4.028736693,3104.604517,0.002528748108,38
1,30,58,5,211.44,2537.28,14.69999981,58,58,14.69999981,9.486949921,9.486949921,4.028736693,4.028736693,3104.604517,0.002528748108,38
1,31,60,1,213.98,2567.76,-0.8999999762,1,1,-0.8999999762,9.486949921,9.486949921,4.028736693,4.028736693,3308.802015,0.002695070109,40
1,31,60,2,213.98,2567.76,-56.29999924,-3,-3,-56.29999924,9.486949921,9.486949921,4.028736693,4.028736693,3308.802015,0.002695070109,40
1,31,60,3,213.98,2567.76,56.29999924,-8,-8,56.29999924,9.486949921,9.486949921,4.028736693,4.028736693,3308.802015,0.002695070109,40
1,31,60,4,213.98,2567.76,0.8999999762,-56,-56,0.8999999762,9.486949921,9.486949921,4.028736693,4.028736693,3308.802015,0.002695070109,40
1,31,60,5,213.98,2567.76,0.8999999762,58,58,0.8999999762,9.486949921,9.486949921,4.028736693,4.028736693,3308.802015,0.002695070109,40
1,32,62,1,216.5,2598,0.8999999762,-2,-2,0.8999999762,9.374150276,9.374150276,3.980835094,3.980835094,3351.544445,0.002729884475,41
1,32,62,2,216.5,2598,-56.29999924,-3,-3,-56.29999924,9.374150276,9.374150276,3.980835094,3.980835094,3351.544445,0.002729884475,41
1,32,62,3,216.5,2598,56.29999924,0,0,56.29999924,9.374150276,9.374150276,3.980835094,3.980835094,3351.544445,0.002729884475,41
1,32,62,4,216.5,2598,-6.099999905,-56,-56,-6.099999905,9.374150276,9.374150276,3.980835094,3.980835094,3351.544445,0.002729884475,41
1,32,62,5,216.5,2598,0.8999999762,58,58,0.8999999762,9.374150276,9.374150276,3.980835094,3.980835094,3351.544445,0.002729884475,41
1,33,64,1,219,2628,-0.8999999762,1,1,-0.8999999762,9.266050339,9.266050339,3.934929278,3.934929278,3459.550301,0.002817856906,42
1,33,64,2,219,2628,-56.29999924,3,3,-56.29999924,9.266050339,9.266050339,3.934929278,3.934929278,3459.550301,0.002817856906,42
1,33,64,3,219,2628,56.29999924,0,0,56.29999924,9.266050339,9.266050339,3.934929278,3.934929278,3459.550301,0.002817856906,42
1,33,64,4,219,2628,4.300000191,-56,-56,4.300000191,9.266050339,9.266050339,3.934929278,3.934929278,3459.550301,0.002817856906,42
1,33,64,5,219,2628,-2.599999905,58,58,-2.599999905,9.266050339,9.266050339,3.934929278,3.934929278,3459.550301,0.002817856906,42
1,34,66,1,221.48,2657.76,0.8999999762,0,0,0.8999999762,9.162650108,9.162650108,3.891019243,3.891019243,3639.428982,0.002964370856,44
1,34,66,2,221.48,2657.76,-56.29999924,3,3,-56.29999924,9.162650108,9.162650108,3.891019243,3.891019243,3639.428982,0.002964370856,44
1,34,66,3,221.48,2657.76,56.29999924,4,4,56.29999924,9.162650108,9.162650108,3.891019243,3.891019243,3639.428982,0.002964370856,44
1,34,66,4,221.48,2657.76,-13,-56,-56,-13,9.162650108,9.162650108,3.891019243,3.891019243,3639.428982,0.002964370856,44
1,34,66,5,221.48,2657.76,45.90000153,58,58,45.90000153,9.162650108,9.162650108,3.891019243,3.891019243,3639.428982,0.002964370856,44
1,35,68,1,223.94,2687.28,0.8999999762,0,0,0.8999999762,9.061599731,9.061599731,3.848107099,3.848107099,3860.023837,0.003144048757,47
1,35,68,2,223.94,2687.28,-56.29999924,3,3,-56.29999924,9.061599731,9.061599731,3.848107099,3.848107099,3860.023837,0.003144048757,47
1,35,68,3,223.94,2687.28,56.29999924,-2,-2,56.29999924,9.061599731,9.061599731,3.848107099,3.848107099,3860.023837,0.003144048757,47
1,35,68,4,223.94,2687.28,-2.599999905,-56,-56,-2.599999905,9.061599731,9.061599731,3.848107099,3.848107099,3860.023837,0.003144048757,47
1,35,68,5,223.94,2687.28,-40.70000076,56,56,-40.70000076,9.061599731,9.061599731,3.848107099,3.848107099,3860.023837,0.003144048757,47
1,36,70,1,226.37,2716.44,-0.8999999762,3,3,-0.8999999762,9.061599731,9.061599731,3.848107099,3.848107099,4015.1159,0.003270373627,49
1,36,70,2,226.37,2716.44,-56.29999924,1,1,-56.29999924,9.061599731,9.061599731,3.848107099,3.848107099,4015.1159,0.003270373627,49
1,36,70,3,226.37,2716.44,56.29999924,0,0,56.29999924,9.061599731,9.061599731,3.848107099,3.848107099,4015.1159,0.003270373627,49
1,36,70,4,226.37,2716.44,51.09999847,-57,-57,51.09999847,9.061599731,9.061599731,3.848107099,3.848107099,4015.1159,0.003270373627,49
