energy_mevu,depth_mm,x_fwhm_mm,y_fwhm_mm,sigma_x_mm,sigma_y_mm,sigma_fit_mm,reference_sigma_fit_mm,reference_sigma_mm,raw_to_reference_sigma_fit_delta_mm
228.79,0.0,8.43,8.51,3.579891388261051,3.613864260273018,3.5968778242670343,3.6,3.55,-0.003122175732965804
228.79,150.0,7.25,7.54,3.0787915260845335,3.201943187127915,3.140367356606224,3.14,3.06,0.00036735660622388977
228.79,300.0,5.98,6.4,2.5394721828945537,2.7178297609573816,2.6286509719259676,2.63,2.58,-0.0013490280740322547
231.19,-300.0,10.69,10.6,4.539625022599126,4.501405541585663,4.520515282092394,4.52,4.5,0.0005152820923948198
231.19,-150.0,9.48,9.45,4.0257853334181215,4.013045506413634,4.019415419915878,4.02,4.01,-0.0005845800841219884
231.19,0.0,8.15,8.3,3.4609863362191655,3.5246854712416043,3.492835903730385,3.49,3.51,0.002835903730384892
231.19,150.0,6.91,7.23,2.934406820033673,3.0702983080815422,3.002352564057608,3.0,3.03,0.0023525640576078644
231.19,300.0,5.76,6.07,2.446046784861643,2.5776916639080167,2.5118692243848297,2.51,2.55,0.0018692243848299483
233.58,-300.0,10.51,10.4,4.4631860605722,4.416473361555745,4.439829711063973,4.44,4.46,-0.00017028893602777373
233.58,-150.0,9.3,9.19,3.9493463713911954,3.9026336723747397,3.9259900218829675,3.93,3.97,-0.004009978117032631
233.58,0.0,7.98,8.05,3.388793983193735,3.418520246204207,3.403657114698971,3.4,3.48,0.003657114698971231
233.58,150.0,6.75,7.02,2.866461076009738,2.981119519050128,2.923790297529933,2.92,3.0,0.0037902975299330954
233.58,300.0,5.62,5.78,2.3865942588407005,2.4545400028646354,2.420567130852668,2.42,2.52,0.0005671308526680185
235.94,-300.0,10.5,10.18,4.458939451570704,4.323047963522835,4.3909937075467695,4.39,4.42,0.000993707546769862
235.94,-150.0,9.22,9.02,3.915373499379228,3.830441319349309,3.8729074093642684,3.87,3.93,0.002907409364268254
235.94,0.0,7.86,7.92,3.337834675175784,3.36331432918476,3.350574502180272,3.35,3.45,0.0005745021802718853
235.94,150.0,6.66,6.79,2.828241594996275,2.883447512015722,2.8558445535059986,2.86,2.97,-0.004155446494001236
235.94,300.0,5.58,5.7,2.369607822834717,2.420567130852668,2.3950874768436927,2.4,2.5,-0.004912523156307191
238.29,-300.0,10.33,10.01,4.386747098545274,4.250855610497404,4.318801354521339,4.32,4.38,-0.00119864547866122
238.29,-150.0,9.08,8.9,3.855920973358285,3.7794820113313587,3.817701492344822,3.82,3.9,-0.002298507655178028
238.29,0.0,7.8,7.74,3.3123550211668085,3.2868753671578332,3.299615194162321,3.3,3.41,-0.00038480583767874776
238.29,150.0,6.56,6.66,2.785775504981316,2.828241594996275,2.8070085499887956,2.81,2.94,-0.0029914500112044884
238.29,300.0,5.44,5.49,2.3101552968137744,2.331388341821254,2.320771819317514,2.32,2.47,0.000771819317514133
240.63,-300.0,10.19,10.01,4.32729457252433,4.250855610497404,4.289075091510867,4.29,4.35,-0.0009249084891331805
240.63,-150.0,8.87,8.87,3.7667421843268705,3.7667421843268705,3.7667421843268705,3.77,3.86,-0.0032578156731295493
240.63,0.0,7.64,7.72,3.244409277142874,3.2783821491548415,3.2613957131488576,3.26,3.38,0.00139571314885778
240.63,150.0,6.54,6.67,2.7772822869783242,2.832488203997771,2.8048852454880473,2.81,2.91,-0.005114754511952757
240.63,300.0,5.39,5.54,2.288922251806295,2.3526213868287336,2.320771819317514,2.32,2.45,0.000771819317514133
242.95,-300.0,10.42,9.85,4.4249665795587365,4.182909866473469,4.303938223016103,4.31,4.31,-0.0060617769838966495
242.95,-150.0,9.22,8.75,3.915373499379228,3.71578287630892,3.815578187844074,3.82,3.83,-0.004421812155925853
242.95,0.0,7.83,7.62,3.3250948481712963,3.2359160591398823,3.2805054536555893,3.28,3.35,0.0005054536555895162
242.95,150.0,6.64,6.52,2.8197483769932834,2.768789068975332,2.7942687229843077,2.79,2.88,0.0042687229843076935
242.95,300.0,5.42,5.42,2.301662078810782,2.301662078810782,2.301662078810782,2.3,2.43,0.001662078810782397
245.25,-300.0,10.34,10.22,4.3909937075467695,4.340034399528819,4.365514053537794,4.37,4.27,-0.004485946462206236
245.25,-150.0,9.0,9.1,3.821948101346318,3.8644141913612766,3.843181146353797,3.84,3.79,0.003181146353797182
245.25,0.0,7.82,8.03,3.3208482391698007,3.410027028201214,3.3654376336855076,3.37,3.32,-0.004562366314492472
245.25,150.0,6.56,7.02,2.785775504981316,2.981119519050128,2.8834475120157217,2.89,2.85,-0.006552487984278432
245.25,300.0,5.4,5.9,2.293168860807791,2.5054993108825863,2.3993340858451884,2.4,2.4,-0.0006659141548115421
247.54,-300.0,10.01,10.14,4.250855610497404,4.306061527516851,4.278458569007128,4.28,4.24,-0.0015414309928720726
247.54,-150.0,8.81,9.04,3.7412625303178957,3.838934537352301,3.7900985338350983,3.79,3.76,9.853383509828006e-05
247.54,0.0,7.5,7.89,3.1849567511219314,3.350574502180272,3.2677656266511015,3.27,3.29,-0.002234373348898533
247.54,150.0,6.42,6.94,2.7263229789603733,2.947146647038161,2.836734812999267,2.84,2.83,-0.003265187000732972
247.54,300.0,5.32,5.83,2.2591959887958235,2.475773047872115,2.3674845183339692,2.37,2.38,-0.002515481666030883
