300 150 0 -150 -300
242.95	5.42 	5.42 	6.64 	6.52 	7.83 	7.62 	9.22 	8.75 	10.42 	9.85 
245.25	5.40 	5.90 	6.56 	7.02 	7.82 	8.03 	9.00 	9.10 	10.34 	10.22 
247.54	5.32 	5.83 	6.42 	6.94 	7.50 	7.89 	8.81 	9.04 	10.01 	10.14 
249.82	5.30 	5.70 	6.48 	6.87 	7.72 	7.84 	8.98 	8.88 	10.09 	9.96 
252.09	5.27 	5.67 	6.49 	6.73 	7.62 	7.68 	8.97 	8.81 	10.25 	9.87 
254.34	5.22 	5.52 	6.44 	6.59 	7.59 	7.54 	8.84 	8.71 	10.00 	9.70 
256.58	5.04 	5.42 	6.20 	6.59 	7.36 	7.51 	8.61 	8.60 	9.82 	9.64 
258.81	5.02 	5.53 	6.22 	6.58 	7.32 	7.50 	8.60 	8.58 	9.75 	9.61 
261.03	5.20 	5.51 	6.39 	6.54 	7.51 	7.47 	8.88 	8.63 	10.17 	9.59 
263.23	5.02 	5.39 	6.19 	6.39 	7.33 	7.34 	8.62 	8.39 	9.81 	9.44 
265.43	4.99 	5.27 	5.99 	6.32 	7.09 	7.23 	8.30 	8.23 	9.56 	9.32 
267.62	4.97 	5.31 	6.03 	6.37 	7.11 	7.24 	8.39 	8.35 	9.58 	9.35 
269.8	4.93 	5.23 	6.01 	6.24 	7.03 	7.15 	8.32 	8.19 	9.54 	9.19 
271.97	4.94 	5.14 	5.87 	6.18 	6.99 	7.02 	8.27 	8.11 	9.43 	9.11 
274.13	4.98 	5.02 	5.87 	6.02 	6.91 	6.88 	8.16 	7.91 	9.32 	8.94 
276.28	4.93 	4.91 	5.84 	5.92 	6.93 	6.81 	8.10 	7.80 	9.27 	8.77 
278.42	4.91 	4.79 	5.83 	5.81 	6.92 	6.70 	8.16 	7.74 	9.28 	8.64 
280.56	4.90 	4.74 	5.79 	5.77 	6.77 	6.62 	8.00 	7.65 	9.18 	8.55 
282.69	4.78 	4.68 	5.79 	5.66 	6.70 	6.55 	7.98 	7.50 	9.12 	8.59 
284.81	4.90 	4.72 	5.79 	5.60 	6.87 	6.51 	8.03 	7.48 	9.19 	8.40 
286.93	4.75 	4.66 	5.78 	5.66 	6.79 	6.45 	8.08 	7.51 	9.17 	8.40 
289.04	4.79 	4.66 	5.69 	5.53 	6.76 	6.35 	7.96 	7.33 	9.03 	8.25 
291.14	4.86 	4.54 	5.62 	5.45 	6.54 	6.33 	7.61 	7.24 	8.68 	8.18 
293.24	4.85 	4.54 	5.60 	5.44 	6.49 	6.31 	7.59 	7.22 	8.60 	8.16 
295.33	5.00 	4.54 	5.63 	5.50 	6.45 	6.31 	7.41 	7.27 	8.41 	8.15 
297.42	5.33 	4.48 	5.93 	5.47 	6.51 	6.29 	7.34 	7.18 	8.25 	8.10 
299.5	4.89 	4.51 	5.59 	5.39 	6.42 	6.11 	7.40 	7.10 	8.41 	7.96 
301.57	4.88 	4.48 	5.58 	5.37 	6.28 	6.10 	7.32 	7.07 	8.30 	7.96 
303.64	5.29 	4.43 	5.65 	5.27 	6.27 	6.07 	7.17 	6.91 	8.16 	7.97 
305.71	4.89 	4.43 	5.41 	5.31 	6.25 	6.21 	7.19 	7.07 	8.26 	7.94 
307.77	4.67 	4.35 	5.36 	5.25 	6.25 	6.04 	7.32 	6.87 	8.39 	7.87 
309.82	4.71 	4.42 	5.37 	5.26 	6.16 	6.02 	7.28 	6.92 	8.26 	7.80 
311.87	4.69 	4.33 	5.35 	5.22 	6.14 	6.01 	7.16 	6.85 	8.15 	7.76 
313.91	4.68 	4.41 	5.31 	5.22 	6.10 	5.89 	7.14 	6.87 	8.15 	7.74 
315.95	4.76 	4.42 	5.35 	5.30 	6.07 	5.98 	7.07 	6.92 	7.94 	7.76 
317.99	4.70 	4.45 	5.33 	5.33 	6.07 	6.03 	7.01 	6.96 	7.97 	7.81 
