Energy[MeV/u],thetax2_sqrt[rad],thetay2_sqrt[rad],xtheta[mm rad],ytheta[mm rad],x2_sqrt[mm],y2_sqrt[mm]
345.93,0.002903472962591676,0.002903472962591676,-0.0002782047856494491,-0.0002782047856494491,1.579390640267419,1.579390640267419
347.88,0.002889719613247201,0.002889719613247201,-0.00031147700046236577,-0.00031147700046236577,1.5891413588283714,1.5891413588283714
349.83,0.0029083401462457956,0.0029083401462457956,-0.00046581047234597157,-0.00046581047234597157,1.6235518881734283,1.6235518881734283
351.77,0.0028947675831668485,0.0028947675831668485,-0.000498743516773677,-0.000498743516773677,1.6329057333115924,1.6329057333115924
353.7,0.0028492792028781766,0.0028492792028781766,-0.0003814179456230625,-0.0003814179456230625,1.6173789373443965,1.6173789373443965
355.62,0.0028357026256386913,0.0028357026256386913,-0.0004145996249128902,-0.0004145996249128902,1.6267458355829663,1.6267458355829663
357.53,0.002842079691316121,0.002842079691316121,-0.0004992964662459784,-0.0004992964662459784,1.6462749073205587,1.6462749073205587
359.44,0.0028485801266961894,0.0028485801266961894,-0.000584324808114091,-0.000584324808114091,1.665623991715072,1.665623991715072
361.34,0.0028318183789783477,0.0028318183789783477,-0.0006282805196017045,-0.0006282805196017045,1.687047973791995,1.687047973791995
363.23,0.002838673151920409,0.002838673151920409,-0.0007140543862986676,-0.0007140543862986676,1.7060273419714942,1.7060273419714942
365.1,0.0028456485378756794,0.0028456485378756794,-0.0008001575430749383,-0.0008001575430749383,1.724844870320713,1.724844870320713
366.97,0.0027415425320067616,0.0027415425320067616,-0.0005028192722634559,-0.0005028192722634559,1.6825417742629294,1.6825417742629294
368.83,0.0028365845104031243,0.0028365845104031243,-0.0009313597802932489,-0.0009313597802932489,1.7640106932927215,1.7640106932927215
370.68,0.0027922933038206574,0.0027922933038206574,-0.0008200056732793695,-0.0008200056732793695,1.7504724300587358,1.7504724300587358
372.51,0.0028000796454678,0.0028000796454678,-0.000907809079107264,-0.000907809079107264,1.7690387085130665,1.7690387085130665
374.34,0.0027987427452485537,0.0027987427452485537,-0.0010243093162696935,-0.0010243093162696935,1.8043260809834218,1.8043260809834218
376.15,0.0027547116982903257,0.0027547116982903257,-0.0009154534301189418,-0.0009154534301189418,1.7914418314302716,1.7914418314302716
377.95,0.002763308897659032,0.002763308897659032,-0.0010051487647067428,-0.0010051487647067428,1.8098495494052935,1.8098495494052935
379.73,0.0027692961515735186,0.0027692961515735186,-0.0011095977484921438,-0.0011095977484921438,1.8401682252962073,1.8401682252962073
381.51,0.0027101744116252292,0.0027101744116252292,-0.00092762767513762,-0.00092762767513762,1.8142263969252228,1.8142263969252228
383.26,0.0027696284640135525,0.0027696284640135525,-0.0012310956550489543,-0.0012310956550489543,1.8748611732220057,1.8748611732220057
385.01,0.00266650884891859,0.00266650884891859,-0.0009443296548537763,-0.0009443296548537763,1.8373778270943169,1.8373778270943169
386.73,0.0026765489424438703,0.0026765489424438703,-0.0010371342178613684,-0.0010371342178613684,1.8557504780255325,1.8557504780255325
388.44,0.0026841209763922027,0.0026841209763922027,-0.0011458621394216406,-0.0011458621394216406,1.8859969412951243,1.8859969412951243
390.14,0.0026237579546052174,0.0026237579546052174,-0.00096555716781897,-0.00096555716781897,1.8608820386352096,1.8608820386352096
391.82,0.0026863350472178162,0.0026863350472178162,-0.0012726137580689786,-0.0012726137580689786,1.9206027260442828,1.9206027260442828
393.47,0.002694663550344311,0.002694663550344311,-0.0013839348573962973,-0.0013839348573962973,1.9502693052092377,1.9502693052092377
395.11,0.0026347924035597346,0.0026347924035597346,-0.0012041472697912885,-0.0012041472697912885,1.926031754517187,1.926031754517187
396.73,0.0026978713655550525,0.0026978713655550525,-0.0015136856134594135,-0.0015136856134594135,1.9842010080902095,1.9842010080902095
398.34,0.002618706761479191,0.002618706761479191,-0.0012974079086545882,-0.0012974079086545882,1.9604719694234591,1.9604719694234591
399.92,0.002611046708389889,0.002611046708389889,-0.0013326886309821015,-0.0013326886309821015,1.976968207224057,1.976968207224057
